Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
2000-07-09,NaN,,17.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,NaN
2000-07-10,6.69,6,17,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,4.97,11,,9.3,7,10.06,,5,8.28,14.09,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-07-11,6.78,6,17,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,5,11,,9.3,7,10.06,,5,8.28,14.06,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-07-12,6.8,6,17,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.3,7,10.06,,5,8.73,14.06,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-07-13,7.15,6,17,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.3,7,10.06,,5,8.73,13.91,5.5,6.25,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-07-14,7.45,6,17,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.3,7,10.06,,5,8.73,14.07,5.5,6.25,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-07-15,NaN,,17,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.3,,NaN,,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,11.75
2000-07-16,NaN,,17,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,NaN
2000-07-17,7.74,6,17,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.3,7,10.06,,,8.73,13.94,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-07-18,7.49,6,17,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.3,7,10.06,,5,8.73,13.86,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-07-19,7.37,6,17,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.3,7,10.06,,5,8.73,13.92,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-07-20,7.05,6,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.3,7,10.06,,5,8.73,13.7,5.5,6.25,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-07-21,6.91,6,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.3,7,10.06,,5,8.73,13.85,5.5,6.25,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-07-22,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.3,8,NaN,,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,11.75
2000-07-23,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,NaN
2000-07-24,6.84,6,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.3,8,10.06,,5,8.73,13.61,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-07-25,6.79,6,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.3,8,10.06,,5,8.73,13.59,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-07-26,6.79,6,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.3,8,10.06,,5,9.45,13.6,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-07-27,6.55,6,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.1,8,10.06,,5,9.45,13.41,5.5,6.25,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-07-28,6.59,6,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,1.5,11,,9.1,8,10.06,,5,9.45,13.39,5.5,6.25,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-07-29,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.1,,NaN,,5,NaN,NaN,5.5,NaN,NaN,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,11.75
2000-07-30,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.1,,NaN,,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,NaN
2000-07-31,6.69,6,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,6,11,,9.1,8,10.06,,5,9.45,13.75,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-01,7.15,6,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,5.53,11,,9.1,8,10.06,,5,9.45,16,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-02,6.85,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,5.01,11,,9.1,8,10.06,,5,9.45,17.62,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-03,6.61,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,6,11,,9.1,8,10.06,,5,10.11,17.66,5.5,6.25,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-08-04,6.51,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,6.1,11,,9.1,8,10.06,,5,10.11,17.01,5.5,6.25,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-08-05,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.1,,NaN,,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,11.75
2000-08-06,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.1,,NaN,,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,NaN
2000-08-07,6.48,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,6,11,,9.1,8,NaN,,5,10.11,16.56,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-08,6.55,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,4,11,,9.1,8,10.06,,5,10.11,16.51,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-09,6.57,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,2.93,11,,9.1,8,10.06,,5,9.45,16.51,5.5,6.25,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,NaN
2000-08-10,6.72,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,1.24,11,,9.1,8,10.06,,5,9.45,16.66,5.5,6.75,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-08-11,6.85,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,1.63,11,,9.1,8,10.06,0.25,5,9.45,16.61,5.5,6.75,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-08-12,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.1,,NaN,0.25,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,11.75
2000-08-13,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.1,,NaN,0.25,,NaN,NaN,5.5,NaN,NaN,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,NaN
2000-08-14,7.01,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,2.35,11,,9.1,8,10.06,0.25,5,9.45,16.65,5.5,6.75,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-15,7.22,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,NaN,11,,9.1,8,10.06,0.25,,9.45,16.34,5.5,6.75,6.5,,10,NaN,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-16,7.05,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,3,11,,9.1,8,10.06,0.25,5,9.02,16.15,5.5,6.75,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-17,7.02,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,2.78,11,,9.1,8,10.06,0.25,5,9.02,16.1,5.5,6.75,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-08-18,7.19,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,0.54,11,,9.1,8,10.06,0.25,5,9.02,16.22,5.5,6.75,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-08-19,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.1,,NaN,0.25,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,11.75
2000-08-20,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.1,,NaN,0.25,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,NaN
2000-08-21,NaN,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,1.47,11,,9.1,8,10.06,0.25,5,9.02,15.97,5.5,6.75,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-22,7.23,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,1.6,11,,9.1,8,10.06,0.25,5,9.02,15.85,5.5,6.75,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-23,7.47,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.9,6,8,1.65,11,,9.1,8,10.06,0.25,5,8.87,15.67,5.5,6.75,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-24,7.72,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.9,6,8,2.16,11,,9.1,8,10.06,0.25,5,8.87,15.62,5.5,6.75,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-08-25,7.66,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.9,6,8,1.29,11,,9.1,8,10.06,0.25,5,8.87,15.64,5.5,6.75,6.5,,10,17.5,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-08-26,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.1,,NaN,0.25,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,11.75
2000-08-27,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.1,,NaN,0.25,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,NaN
2000-08-28,7.6,6.25,16.5,5.75,3.5,5.5,5.85,12,5.25,4.9,NaN,8,4.76,11,,9.1,8,10.06,0.25,5,8.87,15.64,5.5,6.75,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-29,7.78,6.25,16.5,5.75,3.5,5,5.85,12,5.25,4.9,6,8,3.97,11,,9.1,8,10.06,0.25,5,8.87,15.78,5.5,6.75,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-30,7.89,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.1,6,8,2.75,11,,9.1,8,10.06,0.25,5,8.59,16.6,5.5,6.75,6.5,,10,17.5,,26.34,28,7,3.75,1.5,,6.5,4.25,11.75
2000-08-31,7.81,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.1,6,8,3.43,11,,8.9,8,10.06,0.25,5,8.59,15.51,5.5,6.75,6.5,,10,19,,26.34,28,,3.75,1.5,,6.5,4.25,11.75
2000-09-01,7.75,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.1,6,8,8.24,11,,8.9,8,10.06,0.25,5,8.59,15.35,5.5,6.75,6.5,,10,19,,27.33,28,,3.75,1.5,,6.5,4.5,11.75
2000-09-02,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,8.9,,NaN,0.25,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.5,11.75
2000-09-03,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,8.9,,NaN,0.25,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.5,NaN
2000-09-04,8.17,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.1,6,8,7.79,11,,8.9,8,10.06,0.25,5,8.59,15.44,5.5,6.75,6.5,,10,19,,27.33,28,7,3.75,1.5,,6.5,4.5,11.75
2000-09-05,8.74,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.1,6,8,3.84,11,,8.9,8,10.06,0.25,5,8.59,15.78,5.5,6.75,6.5,,10,19,,27.33,28,7,3.75,1.5,,6.5,4.5,11.75
2000-09-06,8.03,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,8,2.95,11,,8.9,8,10.06,0.25,5,8.73,15.99,5.5,6.75,6.5,,10,19,,27.33,28,7,3.75,1.5,,6.5,4.5,11.75
2000-09-07,8.15,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,8,2.91,11,,8.9,8,10.06,0.25,5,8.73,15.76,5.5,6.75,6.5,,10,19,,27.33,28,,3.75,1.5,,6.5,4.5,11.75
2000-09-08,8.3,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,8,1.52,11,,8.9,8,10.06,0.25,5,8.73,15.99,5.5,6.75,6.5,,10,19,,27.33,28,,3.75,1.5,,6.5,4.5,11.75
2000-09-09,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,8.9,,NaN,0.25,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.5,11.75
2000-09-10,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,8.9,,NaN,0.25,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.5,NaN
2000-09-11,8.21,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,8,3,11,,8.9,8,10.06,0.25,,8.73,15.82,5.5,6.75,6.5,,11,19,,27.33,28,7,3.75,1.5,,6.5,4.5,11.75
2000-09-12,8.19,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,8,3,11,,8.9,8,10.06,0.25,,8.73,15.79,5.5,6.75,6.5,,11,19,,27.33,28,7,3.75,1.5,,6.5,4.5,11.75
2000-09-13,8.39,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,NaN,3,11,,8.9,8,10.06,0.25,,8.01,15.76,5.5,6.75,6.5,,11,19,,27.33,28,7,3.75,1.5,,6.5,4.5,11.75
2000-09-14,8.32,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,8,3.14,11,,8.9,8,10.06,0.25,5,8.01,15.92,5.5,6.75,6.5,,11,19,,27.33,28,,3.75,1.5,,6.5,4.5,11.75
2000-09-15,8.36,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,8,2,11,,8.9,8,10.06,0.25,5,8.01,16.43,5.5,6.75,6.5,,11,19,,27.33,28,,3.75,1.5,,6.5,4.5,11.75
2000-09-16,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,8.9,,NaN,0.25,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.5,11.75
2000-09-17,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,8.9,,NaN,0.25,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.5,NaN
2000-09-18,8.51,6.25,16.5,5.75,3.5,NaN,5.85,12,5.25,5,6,8,3,11,,8.9,8,10.06,0.25,5,8.01,15.81,5.5,6.75,6.5,,11,19,,27.33,28,7,3.75,1.5,,6.5,4.5,11.75
2000-09-19,8.89,6.25,16.5,5.75,3.5,NaN,5.85,12,5.25,5,6,8,2.12,11,,8.9,8,10.06,0.25,5,8.01,15.88,5.5,6.75,6.5,,11,19,,27.33,28,7,3.75,1.5,,6.5,4.5,11.75
2000-09-20,8.84,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,8,2.41,11,,8.9,8,10.06,0.25,5,8.16,15.99,5.5,6.75,6.5,,11,19,,27.33,28,7,3.75,1.5,,6.5,4.5,11.75
2000-09-21,8.62,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,8,2.3,11,,8.9,8,10.06,0.25,5,8.16,16.4,5.5,7,6.5,,11,19,,27.33,28,,3.75,1.5,,6.5,4.5,11.75
2000-09-22,8,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,8,1.68,11,,8.9,8,10.06,0.25,5,8.16,16.84,5.5,7,6.5,,11,19,,27.33,28,,3.75,1.5,,6.5,4.5,11.75
2000-09-23,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,8.9,,NaN,0.25,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.5,11.75
2000-09-24,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,8.9,,NaN,0.25,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.5,NaN
2000-09-25,7.62,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,8,5.29,11,,8.9,8,10.06,0.25,5,8.16,15.96,5.5,7,6.5,,11,19,,27.33,28,7,3.75,1.5,,6.5,4.5,NaN
2000-09-26,7.64,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5,6,8,3,11,,8.9,8,10.06,0.25,5,8.16,15.92,5.5,7,6.5,,11,19,,27.33,28,7,3.75,1.5,,6.5,4.5,11.75
2000-09-27,8.02,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.1,6,8,2.82,11,,8.9,8,10.06,0.25,5,8.45,16.58,5.5,7,6.5,,11,19,,27.33,28,7,3.75,1.5,,6.5,4.5,11.75
2000-09-28,8.06,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.1,6,8,2.87,11,,8.6,8,10.06,0.25,5,8.45,15.76,5.5,7,6.5,,11,19,,27.33,28,,3.75,1.5,,6.5,4.5,11.75
2000-09-29,8.25,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.6,6,8,2,11,,8.6,8,10.06,0.25,5,8.45,15.89,5.5,7,6.5,,11,19,,27.33,28,,3.75,1.5,,6.5,4.5,11.75
2000-09-30,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,8.6,,NaN,0.25,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.5,11.75
2000-10-01,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,8.6,,NaN,0.25,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.5,NaN
2000-10-02,8.84,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.6,6,NaN,2.78,11,,8.6,8,10.06,0.25,5,8.45,15.76,5.5,7,6.5,,11,19,,26.34,28,7,3.75,1.5,,6.5,4.5,11.75
2000-10-03,8.53,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.6,6,8,2.75,11,,8.6,8,10.06,0.25,,8.45,15.72,5.5,7,6.5,,11,19,,26.34,28,7,3.75,1.5,,6.5,4.5,11.75
2000-10-04,7.74,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.6,6,8,2.85,11,,8.6,8,10.06,0.25,5,8.45,15.71,5.5,7,6.5,,11,19,,26.34,28,7,3.75,1.5,,6.5,4.5,11.75
2000-10-05,7.69,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.6,6,8,2.52,11,,8.6,8,10.06,0.25,5.25,8.45,15.72,5.5,7,6.5,,11,19,,26.34,28,,3.75,1.5,,6.5,4.5,11.75
2000-10-06,7.81,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.6,6,NaN,1.91,11,,8.6,8,10.06,0.25,5.25,8.45,15.72,5.5,7,6.5,,11,19,,26.34,28,,3.75,1.5,,6.5,4.75,11.75
2000-10-07,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,8.6,,NaN,0.25,5.25,NaN,NaN,5.5,NaN,NaN,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.75,11.75
2000-10-08,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,8.6,,NaN,0.25,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.75,NaN
2000-10-09,7.82,6.25,16.5,5.75,3.5,NaN,5.85,12,5.25,5.6,6,8,2.79,11,,8.6,8,10.06,0.25,5.25,8.45,15.71,5.5,7,6.5,,11,19,,26.34,28,7,3.75,1.5,,6.5,4.75,11.75
2000-10-10,7.95,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.6,6,8,2.8,11,,8.6,8,10.06,0.25,5.25,8.45,15.67,5.5,7,6.5,,11,19,,26.34,28,7,3.75,1.5,,6.5,4.75,11.75
2000-10-11,8.24,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.6,6,8,2.87,11,,8.6,8,10.06,0.25,5.25,8.45,15.75,5.5,7,6.5,,11,19,,26.34,28,7,3.75,1.5,,6.5,4.75,11.75
2000-10-12,8.66,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.6,6,8,2.88,11,,8.6,8,10.06,0.25,5.25,8.45,15.72,5.5,7,6.5,,11,19,,26.34,28,,3.75,1.5,,6.5,4.75,11.75
2000-10-13,9.08,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.5,6,8,1.66,11,,8.6,8,10.06,0.25,5.25,8.45,15.98,5.5,7,6.5,,15,19,,26.34,28,,3.75,1.5,,6.5,4.75,11.75
2000-10-14,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,8.6,,NaN,0.25,5.25,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.75,11.75
2000-10-15,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,8.6,,NaN,0.25,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.75,NaN
2000-10-16,NaN,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.5,6,8,2.35,11,,8.6,8,10.06,0.25,5.25,8.45,15.78,5.5,7,6.5,,15,19,,26.34,28,7,3.75,1.5,,6.5,4.75,11.75
2000-10-17,9.31,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.5,6,8,2.12,11,,8.6,8,10.06,0.25,5.25,8.45,15.88,5.5,7,6.5,,15,19,,26.34,28,7,3.75,1.5,,6.5,4.75,12
2000-10-18,9.69,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.5,6,8,2.58,11,,8.6,8,10.06,0.25,5.25,8.45,16.99,5.5,7,6.5,,15,19,,26.34,28,7,3.75,1.5,,6.5,4.75,11.99
2000-10-19,9.41,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.5,6,8,1.98,11,,8.6,8,10.06,0.25,5.25,8.45,17.19,5.5,7,6.5,,15,19,,26.34,28,,3.75,1.5,,6.5,4.75,12
2000-10-20,9.55,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.5,6,8,1.94,11,,8.6,8,10.06,0.25,5.25,8.45,17.62,5.5,7,6.5,,15,19,,26.34,28,,3.75,1.5,,6.5,4.75,12
2000-10-21,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,8.6,,NaN,0.25,5.25,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.75,12
2000-10-22,NaN,,16.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,8.6,,NaN,0.25,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.75,NaN
2000-10-23,9.98,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.5,6,8,2.96,11,,8.6,8,10.06,0.25,5.25,8.45,17.59,5.5,7,6.5,,15,19,,26.34,28,7,3.75,1.5,,6.5,4.75,12
2000-10-24,9.23,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.5,6,8,2.51,11,,8.6,8,10.06,0.25,5.25,8.45,17.54,5.5,7,6.5,,15,19,,26.34,28,7,3.75,1.5,,6.5,4.75,12
2000-10-25,9.46,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.5,6,8,2.91,11,,8.6,8,10.06,0.25,5.25,7.88,17.52,5.5,7,6.5,,15,19,,26.34,28,7,3.75,1.5,,6.5,4.75,12
2000-10-26,9.87,6.25,16.5,5.75,3.5,5,5.85,12,5.25,5.5,6,8,2.54,11,,8.4,8,10.06,0.25,5.25,7.88,17.12,5.5,7,6.5,,15,19,,26.34,28,,3.75,1.5,,6.5,4.75,12
2000-10-27,10.03,6.25,16.5,5.75,3.5,NaN,5.85,12,5.25,5.4,6,8,2.12,11,,8.4,8,10.06,0.25,5.25,7.88,17.11,5.5,7,6.5,,15,19,,26.34,28,,3.75,1.5,,6.5,4.75,12
2000-10-28,NaN,,16.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,8.4,,NaN,0.25,5.25,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.75,12
